,loja,data,venda,loja_web,index,c_br,c_uy,s_al,s_am,s_ap,s_ba,s_ce,s_df,s_es,s_ex,s_go,s_ma,s_mg,s_ms,s_mt,s_pa,s_pb,s_pe,s_pi,s_pr,s_rj,s_rn,s_ro,s_rr,s_rs,s_sc,s_se,s_sp,s_to,week_of_year,year,store_avg,store_std,holiday,forecast
61,renner_br_al_60,2022-04-10,306,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,323.57454545454544,207.24810778826952,0,246.43591
62,renner_br_al_60,2022-04-17,249,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,323.57454545454544,207.24810778826952,1,252.23868
63,renner_br_al_60,2022-04-24,195,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,323.57454545454544,207.24810778826952,1,260.3309
64,renner_br_al_60,2022-05-01,321,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,323.57454545454544,207.24810778826952,1,293.77637
65,renner_br_al_60,2022-05-08,284,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,323.57454545454544,207.24810778826952,0,286.97037
66,renner_br_al_60,2022-05-15,204,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,323.57454545454544,207.24810778826952,1,289.07004
67,renner_br_al_60,2022-05-22,156,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,323.57454545454544,207.24810778826952,0,286.9424
68,renner_br_al_60,2022-05-29,224,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,323.57454545454544,207.24810778826952,0,347.8207
69,renner_br_am_1,2022-04-10,163,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,215.71636363636364,125.45857309634503,0,184.14189
70,renner_br_am_1,2022-04-17,164,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,215.71636363636364,125.45857309634503,1,184.9726
